Date,SPY
2003-12-01,5203.540033819583
2003-12-02,5247.536440828454
2003-12-03,5239.2268268328
2003-12-04,5347.424672358011
2003-12-05,5245.489948748787
2003-12-08,5324.1661478059805
2003-12-09,5232.949213500071
2003-12-10,5296.9790775534875
2003-12-11,5312.970460229448
2003-12-12,5316.06037314861
2003-12-15,5175.113838619632
2003-12-16,5324.293926441824
2003-12-17,5297.503391977955
2003-12-18,5371.712038477406
2003-12-19,5291.28977664182
2003-12-22,5299.109029004722
2003-12-23,5215.834866337048
2003-12-24,5210.606566585161
2003-12-26,5171.4903780347
2003-12-29,4950.292475336361
2003-12-30,5241.260768984042
2003-12-31,5245.9780879919945
2004-01-02,5065.19077899334
2004-01-05,4958.453496226634
2004-01-06,5054.387582485892
2004-01-07,5015.065659837365
2004-01-08,5006.921129527095
2004-01-09,4798.34795960574
2004-01-12,4566.233567431235
2004-01-13,4638.03470434868
2004-01-14,4764.069576617769
2004-01-15,4742.016129566627
2004-01-16,4856.257545443234
2004-01-20,4930.988001942716
2004-01-21,5004.964935248737
2004-01-22,4887.398710844922
2004-01-23,4954.859789302108
2004-01-26,5045.5397887081
2004-01-27,5164.433996785018
2004-01-28,5293.106440454009
2004-01-29,5566.83201324265
2004-01-30,5582.0460200735215
2004-02-02,5675.30173298323
2004-02-03,5475.630491844648
2004-02-04,5445.788688557959
2004-02-05,5552.1157514061815
2004-02-06,5629.759318554916
2004-02-09,5570.028803726372
2004-02-10,5542.30578431084
2004-02-11,5502.027755778591
2004-02-12,5407.022221961514
2004-02-13,5449.959607254056
2004-02-17,5590.648799882054
2004-02-18,5751.630179350396
2004-02-19,5863.934632706329
2004-02-20,5846.122844237733
2004-02-23,5831.364071908928
2004-02-24,5821.188323617248
2004-02-25,5704.573866428029
2004-02-26,5638.45317842521
2004-02-27,5452.255303188805
2004-03-01,5415.874391404172
2004-03-02,5361.871348844255
2004-03-03,5349.353232716299
2004-03-04,5370.659682685142
2004-03-05,5226.383979285847
2004-03-08,5213.237057128809
2004-03-09,5235.887704608959
2004-03-10,5299.947563314049
2004-03-11,5281.906169589643
2004-03-12,5292.63985955222
2004-03-15,5256.6745086777055
2004-03-16,5241.014149407071
2004-03-17,5395.382450444229
2004-03-18,5367.201280530729
2004-03-19,5246.715314971938
2004-03-22,5259.1506865542
2004-03-23,5264.480945395059
2004-03-24,5378.172797308113
2004-03-25,5501.654629597726
2004-03-26,5518.160233275878
2004-03-29,5603.314134600395
2004-03-30,5388.666786490694
2004-03-31,5306.338267883101
2004-04-01,5294.124802144353
2004-04-02,5363.742130220131
2004-04-05,5260.24397347495
2004-04-06,5236.069046375829
2004-04-07,5194.740214427278
2004-04-08,5284.835720292811
2004-04-12,5283.585052965332
2004-04-13,5282.204184397739
2004-04-14,5254.096370624235
2004-04-15,5462.712663921487
2004-04-16,5437.164595573067
2004-04-19,5422.22151013479
2004-04-20,5494.523611045297
2004-04-21,5531.342885464583
2004-04-22,5593.603684238353
2004-04-23,5462.479500376385
2004-04-26,5462.343940732552
2004-04-27,5519.942134857668
2004-04-28,5676.165920464911
2004-04-29,5772.915414049941
2004-04-30,5462.29437366353
2004-05-03,5899.559485426957
2004-05-04,5792.59543928292
2004-05-05,5728.2740291148375
2004-05-06,6025.1216943703375
2004-05-07,6448.018283411312
2004-05-10,7075.521918003735
2004-05-11,6545.731112667549
2004-05-12,7171.706171353953
2004-05-13,7069.33190732235
2004-05-14,6683.403951293632
2004-05-17,6914.136341442204
2004-05-18,7020.515601102526
2004-05-19,7032.029386755582
2004-05-20,7793.453797312157
2004-05-21,7623.875823431308
2004-05-24,7503.5058965566795
2004-05-25,7234.895860770949
2004-05-26,7465.935847079066
2004-05-27,7143.89536149976
2004-05-28,6854.683114439421
2004-06-01,7374.548978244588
2004-06-02,7271.146883039002
2004-06-03,7408.866969398878
2004-06-04,7215.248489935738
2004-06-07,7167.0903467043345
2004-06-08,7158.647530389596
2004-06-09,7239.128550426547
2004-06-10,7274.753299758154
2004-06-14,7607.700755581283
2004-06-15,7244.477260736253
2004-06-16,7373.965530312994
2004-06-17,7269.532006331555
2004-06-18,7395.691667116032
2004-06-21,7302.205279926132
2004-06-22,7338.973059704365
2004-06-23,7280.057552559719
2004-06-24,7009.170509498904
2004-06-25,7130.140527255222
2004-06-28,7271.7116336561985
2004-06-29,7116.816305157981
2004-06-30,6954.412124485564
2004-07-01,6751.7835443365975
2004-07-02,6454.464978492556
2004-07-06,6448.534568748836
2004-07-07,6357.810772828445
2004-07-08,6515.909628381237
2004-07-09,6405.544759092697
2004-07-12,6341.24274696589
2004-07-13,6387.727700956302
2004-07-14,6243.465996673947
2004-07-15,6137.755324296285
2004-07-16,6019.651169415836
2004-07-19,5922.514775131293
2004-07-20,6078.314397090865
2004-07-21,6175.546138579439
2004-07-22,6291.201650083287
2004-07-23,6345.922092314131
2004-07-26,6518.239524909155
2004-07-27,6393.097161720346
2004-07-28,6412.31769004768
2004-07-29,6280.874664790229
2004-07-30,6312.831900542817
2004-08-02,6409.68856993541
2004-08-03,6401.922814548528
2004-08-04,6418.140586156227
2004-08-05,6429.910975587072
2004-08-06,6045.591617875962
2004-08-09,6118.2507783395295
2004-08-10,6099.854664333445
2004-08-11,6152.079859317038
2004-08-12,6076.945784281749
2004-08-13,5969.353467560759
2004-08-16,5927.955145732653
2004-08-17,5866.720188750765
2004-08-18,5832.601144521197
2004-08-19,5846.904444697487
2004-08-20,5716.3263849077875
2004-08-23,5686.462480024356
2004-08-24,5640.568508382568
2004-08-25,5640.565139535457
2004-08-26,5655.87603893402
2006-03-24,1945.200057642976
2006-03-27,1926.5446895680325
2006-03-28,1977.4211335528198
2006-03-29,2191.278792097356
2006-03-30,2077.628622253619
2006-03-31,1984.9235059603634
2006-04-03,1913.6806006835798
2006-04-04,1846.8312998760844
2006-04-05,1881.607678053316
2006-04-06,1864.1404926803887
2006-04-07,1866.0818275513382
2006-04-10,1899.6104708612102
2006-04-11,1859.3749557964327
2006-04-12,1843.7396655825507
2006-04-13,1873.3044520689023
2006-04-18,1855.7809194742847
2006-04-19,1814.2999283730735
2006-04-20,1828.8521894625164
2006-04-21,1829.1300791924461
2006-04-24,1814.431796957723
2006-04-25,1808.9984769867224
2006-04-26,1821.0761459640007
2006-04-27,1774.8844744167884
2006-04-28,1750.8823746478313
2006-05-02,1667.9225435451945
2006-05-03,1658.8122920446672
2006-05-04,1647.766948392423
2006-05-05,1644.3386089274436
2006-05-08,1318.777789197777
2006-05-09,1645.5788697430803
2006-05-10,1627.5085022338205
2006-05-11,1724.0527965971721
2006-05-12,1859.668448519738
2006-05-15,1968.9380710568641
2006-05-16,1886.9650115994393
2006-05-17,1996.5400907727749
2006-05-18,2056.5325482548938
2006-05-19,2052.2885168318576
2006-05-22,2432.6727285814254
2006-05-23,2221.3497278906193
2006-05-24,2701.0686867842346
2006-05-25,2734.4663300285106
2006-05-26,2302.721737105242
2006-05-30,2482.031344471383
2006-05-31,2461.0032243682936
2006-06-01,2357.2831226015264
2006-06-02,2425.7906183558543
2006-06-05,2390.4380847744947
2006-06-06,2321.3055847858723
2006-06-07,2261.5271879434476
2006-06-08,2367.578894767495
2006-06-09,2266.3698235260495
2006-06-12,2247.7372886643134
2006-06-13,2331.6820491973617
2006-06-14,2319.11146680606
2006-06-15,2274.243936627893
2006-06-16,2211.2508156011468
2006-06-19,2132.8020230573084
2006-06-20,2167.4184163100413
2006-06-21,2183.097001323093
2006-06-22,2144.5042774383737
2006-06-23,2198.5000699030784
2006-06-26,2133.2389733800933
2006-06-27,2121.657483499457
2006-06-28,2126.4650176843925
2006-06-29,2086.000003306046
2006-06-30,1934.0562040971006
2006-07-03,1925.8368829247138
2006-07-05,2029.1642157705319
2006-07-06,1999.965915091604
2006-07-07,1944.608259673913
2006-07-10,1949.733009771063
2006-07-11,2001.3319491273628
2006-07-12,2001.8618122011358
2006-07-13,2036.8359916273573
2006-07-14,1662.085743735122
2006-07-17,2047.0350387755668
2006-07-18,2000.0012219000982
2006-07-19,2007.128204052311
2006-07-20,1966.930554509845
2006-07-21,1978.9796365739478
2006-07-24,2008.4412149790078
2006-07-25,2058.3410696348938
2006-07-26,2080.2995119815896
2006-07-27,2007.1915333181348
2006-07-28,1995.9347341597104
2006-07-31,1980.7427787659553
2006-08-01,2016.7475459426187
2006-08-02,1993.0913391490285
2006-08-03,2016.0857860747842
2006-08-04,1975.2145855052577
2006-08-07,1994.6876632717456
