Date,USDT-USD
2017-11-09,3.277895803609198
2017-11-10,3.2682247703473877
2017-11-13,3.3070342407466455
2017-11-14,3.298274208084422
2017-11-15,3.3224318315677692
2017-11-17,3.2751461502240318
2017-11-20,3.260748502682077
2017-11-21,3.241136951650105
2017-11-22,3.257788381966862
2017-11-23,3.2055961396971786
2017-11-24,3.2278030827882565
2017-11-27,3.2370702278451797
2017-11-28,3.2268514386988727
2017-11-29,3.1795482167330817
2017-11-30,3.2710830779753906
2017-12-01,3.303192438413106
2017-12-04,3.2693546196823036
2017-12-05,3.2489880570182095
2017-12-06,3.2724112718488243
2017-12-07,3.336697705966202
2017-12-08,3.3450548892224097
2017-12-11,3.348821813686214
2017-12-12,3.5605609826681075
2017-12-13,3.3928124682136627
2017-12-14,3.3356975009784824
2017-12-15,3.3941805839744186
2017-12-18,3.334862023120081
2017-12-19,3.3256423340243946
2017-12-20,3.2890920204051213
2017-12-21,3.326860700964317
2017-12-22,3.3661571383509
2017-12-25,3.3751519174004163
2017-12-26,3.349075632222309
2017-12-27,3.3218133938044048
2017-12-28,3.33513456958039
2017-12-29,3.329774709163758
2018-01-01,3.331679323399613
2018-01-02,3.3272239385210005
2018-01-03,3.301584977737206
2018-01-04,3.24368584377342
2018-01-05,3.228683460690604
2018-01-08,3.256671909792601
2018-01-09,3.2584017844344544
2018-01-10,3.2509556878827084
2018-01-11,3.231917227094698
2018-01-12,3.2337424568667075
2018-01-15,3.2218888372872527
2018-01-16,3.3229308895642484
2018-01-17,3.269525769556366
2018-01-18,3.296665060291105
2018-01-19,3.2196511066754283
2018-01-22,3.210801448990453
2018-01-23,3.2168634003747343
2018-01-24,3.227359670722123
2018-01-25,3.1438263085309757
2018-01-26,3.1599281654318645
2018-01-29,3.136250219595582
2018-01-30,3.1109822832288074
2018-01-31,3.1485763234313424
2018-02-01,3.143104686762399
2018-02-02,3.1344263074333867
2018-02-05,3.2035288160923163
2018-02-06,3.2940045320573574
2018-02-07,3.2379268468439477
2018-02-08,3.3317340588989452
2018-02-09,3.2915305400305215
2018-02-12,3.2910962765301974
2018-02-13,3.297623126169782
2018-02-14,3.2967363879007507
2018-02-15,3.2335996143271473
2018-02-16,3.2331753087773905
2018-02-19,3.230169141195914
2018-02-20,3.2350721087908587
2018-02-21,3.25745680809689
2018-02-22,3.2809643853237276
2018-02-23,3.253800317970388
2018-02-26,3.2357789291047965
2018-02-27,3.2241757566183082
2018-02-28,3.244936427801789
2018-03-01,3.2461628235244575
2018-03-02,3.2491224706172948
2018-03-05,3.245908372096125
2018-03-06,3.2426203195734047
2018-03-07,3.2159558809815962
2018-03-08,3.262065559396774
2018-03-09,3.271521620931935
2018-03-12,3.263751685393373
2018-03-13,3.2597880584006305
2018-03-14,3.2676614460770566
2018-03-15,3.26267081684648
2018-03-16,3.2773442357729725
2018-03-19,3.246862760864303
2018-03-20,3.2736960698389908
2018-03-21,3.3061986236647276
2018-03-22,3.2693685028244066
2018-03-23,3.2817377443649036
2018-03-26,3.3258024782149107
2018-03-27,3.3156298295628517
2018-03-28,3.3202549618328168
2018-03-29,3.314729305080874
2018-03-30,3.3000080425808562
2018-04-02,3.30242949510216
2018-04-03,3.3106246445004213
2018-04-04,3.3421719363414297
2018-04-05,3.3361189097131216
2018-04-06,3.3452424514130144
2018-04-09,3.3592665879286305
2018-04-10,3.4119548714656105
2018-04-11,3.408151758681584
2018-04-12,3.362410687807128
2018-04-13,3.4072308224888133
2018-04-16,3.4160541463973004
2018-04-17,3.411167237805728
2018-04-18,3.397656901754289
2018-04-19,3.367593426801705
2018-04-20,3.377077865251067
2018-04-23,3.4063504778475813
2018-04-24,3.4653168411702495
2018-04-25,3.443064900517982
2018-04-26,3.4795564229060005
2018-04-27,3.4886180549810595
2018-04-30,3.4543619094455384
2018-05-01,3.518035149700269
2018-05-02,3.4972084740329166
2018-05-03,3.542404935161997
2018-05-04,3.521525193786601
2018-05-07,3.5157591965651
2018-05-08,3.5567244260109874
2018-05-09,3.5637163886754593
2018-05-10,3.595111198810912
2018-05-11,3.557486207817078
2018-05-14,3.6074759122014943
2018-05-15,3.6257285308795693
2018-05-16,3.648517533582506
2018-05-17,3.6750982992345484
2018-05-18,3.69920147380148
2018-05-21,3.7495029565289997
2018-05-22,3.6866167054815264
2018-05-23,3.6606567393437217
2018-05-24,3.6213145687833763
2018-05-25,3.6497050686750754
2018-05-28,3.6352293568586447
2018-05-29,3.736739143944306
2018-05-30,3.72308347353237
2018-05-31,3.7146670079796418
2018-06-01,3.7256847869197993
2018-06-04,3.763556015405243
2018-06-05,3.7483191420234334
2018-06-06,3.8069249735837047
2018-06-07,3.838595641563415
2018-06-08,3.9076825276119953
2018-06-11,3.712050477436321
2018-06-12,3.711655752623102
2018-06-13,3.728113958532617
2018-06-14,3.733489327460518
2018-06-15,3.830437779214094
2018-06-18,3.7392522497369782
2018-06-19,3.7470240282006557
2018-06-20,3.7406145174651333
2018-06-21,3.7710975907303346
2018-06-22,3.7763953812906257
2018-06-25,3.7886474783430515
2018-06-26,3.777214219542259
2018-06-27,3.7879616326104184
2018-06-28,3.849264648505738
2018-06-29,3.872352036366692
2018-07-02,3.871177994447593
2018-07-03,3.9138519070754683
2018-07-04,3.8931634766551326
2018-07-05,3.9350135286674104
2018-07-06,3.9437228320131226
2018-07-09,3.894894492744925
2018-07-10,3.875945389940682
2018-07-11,3.8195255682061044
2018-07-12,3.8724952465720155
2018-07-13,3.8862107872637353
2018-07-16,3.8460857520325082
2018-07-17,3.8565014476706665
