Date,BOVA11.SA
2009-04-17,45.849998474121094
2009-04-20,44.41999816894531
2009-04-22,44.9900016784668
2009-04-23,45.900001525878906
2009-04-24,46.689998626708984
2009-04-27,45.900001525878906
2009-04-28,45.849998474121094
2009-04-29,46.79999923706055
2009-04-30,48.099998474121094
2009-05-04,50.0
2009-05-05,50.650001525878906
2009-05-06,51.36000061035156
2009-05-07,50.04999923706055
2009-05-08,51.36000061035156
2009-05-11,51.0
2009-05-12,50.29999923706055
2009-05-13,48.099998474121094
2009-05-14,49.41999816894531
2009-05-15,49.0
2009-05-18,51.45000076293945
2009-05-19,51.41999816894531
2009-05-20,51.20000076293945
2009-05-21,49.9900016784668
2009-05-22,50.689998626708984
2009-05-25,50.900001525878906
2009-05-26,51.79999923706055
2009-05-27,51.70000076293945
2009-05-28,53.0
2009-05-29,53.099998474121094
2009-06-01,54.13999938964844
2009-06-02,53.70000076293945
2009-06-03,52.0
2009-06-04,53.29999923706055
2009-06-05,52.7599983215332
2009-06-08,53.599998474121094
2009-06-09,53.20000076293945
2009-06-10,53.20000076293945
2009-06-12,53.20000076293945
2009-06-15,51.97999954223633
2009-06-16,51.189998626708984
2009-06-17,51.0
2009-06-18,50.849998474121094
2009-06-19,51.400001525878906
2009-06-22,49.400001525878906
2009-06-23,49.75
2009-06-24,49.70000076293945
2009-06-25,51.38999938964844
2009-06-26,51.560001373291016
2009-06-29,52.02000045776367
2009-06-30,51.400001525878906
2009-07-01,51.52000045776367
2009-07-02,50.88999938964844
2009-07-03,50.79999923706055
2009-07-06,50.5
2009-07-07,49.25
2009-07-08,49.04999923706055
2009-07-10,49.0
2009-07-13,49.29999923706055
2009-07-14,48.70000076293945
2009-07-15,51.279998779296875
2009-07-16,51.900001525878906
2009-07-17,51.900001525878906
2009-07-20,53.04999923706055
2009-07-21,53.099998474121094
2009-07-22,53.04999923706055
2009-07-23,53.9900016784668
2009-07-24,54.400001525878906
2009-07-27,54.5
2009-07-28,54.5
2009-07-29,53.70000076293945
2009-07-30,54.02000045776367
2009-07-31,54.5
2009-08-03,55.95000076293945
2009-08-04,56.0
2009-08-05,56.150001525878906
2009-08-06,55.599998474121094
2009-08-07,56.11000061035156
2009-08-10,56.45000076293945
2009-08-11,55.58000183105469
2009-08-12,56.599998474121094
2009-08-13,56.40999984741211
2009-08-14,56.5
2009-08-17,55.0
2009-08-18,55.70000076293945
2009-08-19,55.61000061035156
2009-08-20,56.599998474121094
2009-08-21,57.20000076293945
2009-08-24,57.45000076293945
2009-08-25,57.29999923706055
2009-08-26,57.5
2009-08-27,57.5
2009-08-28,57.5
2009-08-31,56.25
2009-09-01,55.5
2009-09-02,54.9900016784668
2009-09-03,55.70000076293945
2009-09-04,56.650001525878906
2009-09-08,57.630001068115234
2009-09-09,57.599998474121094
2009-09-10,58.20000076293945
2009-09-11,58.099998474121094
2009-09-14,58.63999938964844
2009-09-15,58.79999923706055
2009-09-16,60.029998779296875
2009-09-17,59.900001525878906
2009-09-18,60.0
2009-09-21,60.66999816894531
2009-09-22,61.099998474121094
2009-09-23,60.20000076293945
2009-09-24,59.689998626708984
2009-09-25,59.9900016784668
2009-09-28,60.9900016784668
2009-09-29,60.75
2009-09-30,61.5099983215332
2009-10-01,60.38999938964844
2009-10-02,60.9900016784668
2009-10-05,62.0
2009-10-06,62.5
2009-10-07,62.400001525878906
2009-10-08,63.54999923706055
2009-10-09,63.54999923706055
2009-10-13,64.19999694824219
2009-10-14,65.98999786376953
2009-10-15,66.48999786376953
2009-10-16,65.7699966430664
2009-10-19,66.9000015258789
2009-10-20,65.0
2009-10-21,65.69999694824219
2009-10-22,65.94999694824219
2009-10-23,64.69999694824219
2009-10-26,65.0
2009-10-27,62.7400016784668
2009-10-28,59.70000076293945
2009-10-29,63.5
2009-10-30,61.5
2009-11-03,62.25
2009-11-04,63.54999923706055
2009-11-05,64.5
2009-11-06,63.95000076293945
2009-11-09,65.9000015258789
2009-11-10,66.0
2009-11-11,65.9000015258789
2009-11-12,64.0999984741211
2009-11-13,64.80000305175781
2009-11-16,66.12000274658203
2009-11-17,66.80000305175781
2009-11-18,66.0
2009-11-19,65.8499984741211
2009-11-23,66.3499984741211
2009-11-24,66.80000305175781
2009-11-25,67.5
2009-11-26,65.5
2009-11-27,66.5999984741211
2009-11-30,66.9000015258789
2009-12-01,67.9000015258789
2009-12-02,68.0
2009-12-03,68.0999984741211
2009-12-04,67.5
2009-12-07,68.16000366210938
2009-12-08,67.19999694824219
2009-12-09,67.30000305175781
2009-12-10,68.25
2009-12-11,68.7300033569336
2009-12-14,69.0
2009-12-15,68.94999694824219
2009-12-16,68.19999694824219
2009-12-17,66.5999984741211
2009-12-18,66.5
2009-12-21,66.5
2009-12-22,67.0
2009-12-23,67.25
2009-12-28,67.9000015258789
2009-12-29,67.94000244140625
2009-12-30,68.5
2010-01-04,69.37000274658203
2010-01-05,69.9000015258789
2010-01-06,70.30000305175781
2010-01-07,70.0
2010-01-08,69.4800033569336
2010-01-11,69.98999786376953
2010-01-12,69.69999694824219
2010-01-13,70.0
2010-01-14,69.5
2010-01-15,68.5
2010-01-18,68.9000015258789
2010-01-19,68.12000274658203
2010-01-20,67.69999694824219
2010-01-21,65.9000015258789
2010-01-22,65.58999633789062
2010-01-26,64.9800033569336
2010-01-27,64.9000015258789
2010-01-28,65.19999694824219
2010-01-29,64.9000015258789
2010-02-01,66.05000305175781
2010-02-02,66.69999694824219
2010-02-03,66.58999633789062
2010-02-04,63.400001525878906
2010-02-05,62.0
