Date,EURBRL=X
2003-12-01,3.462100028991699
2003-12-02,3.41510009765625
2003-12-03,3.4798998832702637
2003-12-04,3.459700107574463
2003-12-05,3.4793999195098877
2003-12-08,3.507499933242798
2003-12-09,3.526099920272827
2003-12-10,3.5146000385284424
2003-12-11,3.496500015258789
2003-12-12,3.5250000953674316
2003-12-15,3.5064001083374023
2003-12-16,3.522900104522705
2003-12-17,3.546799898147583
2003-12-18,3.5571999549865723
2003-12-19,3.5576000213623047
2003-12-22,3.5564000606536865
2003-12-23,3.544300079345703
2003-12-29,3.5490000247955322
2003-12-30,3.5176000595092773
2003-12-31,3.5176000595092773
2004-01-02,3.5597000122070312
2004-01-05,3.5634000301361084
2004-01-06,3.54259991645813
2004-01-07,3.568700075149536
2004-01-08,3.521699905395508
2004-01-09,3.552500009536743
2004-01-12,3.5517001152038574
2004-01-13,3.4672000408172607
2004-01-14,3.4872000217437744
2004-01-15,3.4753000736236572
2004-01-16,3.4379000663757324
2004-01-19,3.4235999584198
2004-01-20,3.4686999320983887
2004-01-21,3.499300003051758
2004-01-22,3.5327000617980957
2004-01-23,3.535799980163574
2004-01-26,3.4941999912261963
2004-01-27,3.4781999588012695
2004-01-28,3.5536999702453613
2004-01-29,3.5641000270843506
2004-01-30,3.5673000812530518
2004-02-02,3.5940001010894775
2004-02-03,3.5722999572753906
2004-02-04,3.5722999572753906
2004-02-05,3.604599952697754
2004-02-06,3.625
2004-02-09,3.644700050354004
2004-02-10,3.6496999263763428
2004-02-11,3.6250998973846436
2004-02-12,3.64739990234375
2004-02-13,3.64739990234375
2004-02-16,3.6217000484466553
2004-02-17,3.6596999168395996
2004-02-18,3.6730000972747803
2004-02-19,3.666100025177002
2004-02-20,3.6637001037597656
2004-02-23,3.636399984359741
2004-02-24,3.650700092315674
2004-02-25,3.6628000736236572
2004-02-26,3.5724000930786133
2004-02-27,3.5564000606536865
2004-03-01,3.547300100326538
2004-03-02,3.5120999813079834
2004-03-03,3.4291000366210938
2004-03-04,3.446500062942505
2004-03-05,3.4453001022338867
2004-03-08,3.469599962234497
2004-03-09,3.4762001037597656
2004-03-10,3.4621999263763428
2004-03-11,3.4683001041412354
2004-03-12,3.491300106048584
2004-03-15,3.485599994659424
2004-03-16,3.506700038909912
2004-03-17,3.4707999229431152
2004-03-18,3.4916999340057373
2004-03-19,3.5088000297546387
2004-03-22,3.4993999004364014
2004-03-23,3.4892001152038574
2004-03-24,3.4893999099731445
2004-03-25,3.467600107192993
2004-03-26,3.5035998821258545
2004-03-29,3.482800006866455
2004-03-30,3.5088000297546387
2004-03-31,3.474400043487549
2004-04-01,3.490499973297119
2004-04-02,3.4786999225616455
2004-04-05,3.418100118637085
2004-04-06,3.398400068283081
2004-04-07,3.3980000019073486
2004-04-08,3.418299913406372
2004-04-13,3.36899995803833
2004-04-14,3.3622000217437744
2004-04-15,3.360300064086914
2004-04-16,3.4077999591827393
2004-04-19,3.4272000789642334
2004-04-20,3.3842999935150146
2004-04-21,3.3842999935150146
2004-04-22,3.3882999420166016
2004-04-23,3.4000000953674316
2004-04-26,3.364799976348877
2004-04-27,3.377500057220459
2004-04-28,3.3859000205993652
2004-04-29,3.404099941253662
2004-04-30,3.4674999713897705
2004-05-03,3.4282000064849854
2004-05-04,3.5088999271392822
2004-05-05,3.525700092315674
2004-05-06,3.506999969482422
2004-05-07,3.5353000164031982
2004-05-10,3.5388998985290527
2004-05-11,3.6331000328063965
2004-05-12,3.570499897003174
2004-05-13,3.6370999813079834
2004-05-14,3.6129000186920166
2004-05-17,3.6349000930786133
2004-05-18,3.6600000858306885
2004-05-19,3.67549991607666
2004-05-21,3.7871999740600586
2004-05-24,3.7370998859405518
2004-05-25,3.7560999393463135
2004-05-26,3.7202999591827393
2004-05-27,3.7625999450683594
2004-05-28,3.7430999279022217
2004-06-01,3.8229000568389893
2004-06-02,3.7802999019622803
2004-06-03,3.7474000453948975
2004-06-04,3.769399881362915
2004-06-07,3.7734999656677246
2004-06-08,3.7537999153137207
2004-06-09,3.710099935531616
2004-06-10,3.690999984741211
2004-06-11,3.671999931335449
2004-06-14,3.6988000869750977
2004-06-15,3.7297000885009766
2004-06-16,3.6849000453948975
2004-06-17,3.704900026321411
2004-06-18,3.6819000244140625
2004-06-21,3.7172999382019043
2004-06-22,3.710900068283081
2004-06-23,3.704200029373169
2004-06-24,3.697200059890747
2004-06-25,3.6714999675750732
2004-06-28,3.7040998935699463
2004-06-29,3.722399950027466
2004-06-30,3.696199893951416
2004-07-01,3.737600088119507
2004-07-02,3.656599998474121
2004-07-05,3.6542000770568848
2004-07-06,3.6370999813079834
2004-07-07,3.6881000995635986
2004-07-08,3.671099901199341
2004-07-09,3.712399959564209
2004-07-12,3.696199893951416
2004-07-13,3.672300100326538
2004-07-14,3.6793999671936035
2004-07-15,3.65939998626709
2004-07-16,3.6428000926971436
2004-07-19,3.6458001136779785
2004-07-20,3.6338999271392822
2004-07-21,3.6033999919891357
2004-07-22,3.634200096130371
2004-07-23,3.621799945831299
2004-07-26,3.632699966430664
2004-07-27,3.662899971008301
2004-07-28,3.604599952697754
2004-07-29,3.5934998989105225
2004-07-30,3.5810000896453857
2004-08-02,3.5887999534606934
2004-08-03,3.581700086593628
2004-08-04,3.5861001014709473
2004-08-05,3.603600025177002
2004-08-06,3.6191000938415527
2004-08-09,3.639699935913086
2004-08-10,3.651700019836426
2004-08-11,3.624000072479248
2004-08-12,3.643199920654297
2004-08-13,3.6238999366760254
2004-08-16,3.647200107574463
2004-08-17,3.6298000812530518
