Date,KNCR11.SA
2014-08-06,61.49406051635742
2014-08-07,62.884159088134766
2014-08-08,62.884159088134766
2014-08-11,62.21015930175781
2014-08-12,62.577247619628906
2014-08-13,62.884159088134766
2014-08-14,62.282371520996094
2014-08-15,64.02749633789062
2014-08-18,63.6363410949707
2014-08-19,62.884159088134766
2014-08-20,61.98149490356445
2014-08-21,62.5832633972168
2014-08-22,63.786781311035156
2014-08-25,63.33546447753906
2014-08-26,62.5832633972168
2014-08-27,63.660438537597656
2014-08-28,63.72060775756836
2014-08-29,63.726600646972656
2014-09-01,63.786781311035156
2014-09-02,63.479888916015625
2014-09-03,63.546077728271484
2014-09-04,63.7567024230957
2014-09-05,63.48589324951172
2014-09-08,63.726600646972656
2014-09-09,62.89017105102539
2014-09-10,62.63740921020508
2014-09-11,63.666446685791016
2014-09-12,63.726600646972656
2014-09-15,62.87815475463867
2014-09-16,63.6363410949707
2014-09-17,63.17902374267578
2014-09-18,63.786781311035156
2014-09-19,63.17298889160156
2014-09-22,62.577247619628906
2014-09-23,62.998470306396484
2014-09-24,63.60627746582031
2014-09-25,62.95636749267578
2014-09-26,63.546077728271484
2014-09-29,63.60627746582031
2014-09-30,63.425724029541016
2014-10-01,62.282371520996094
2014-10-02,61.98149490356445
2014-10-03,60.976566314697266
2014-10-06,60.77799606323242
2014-10-07,61.139041900634766
2014-10-08,60.78400802612305
2014-10-09,61.7047004699707
2014-10-10,61.57831954956055
2014-10-13,61.909305572509766
2014-10-14,61.98149490356445
2014-10-15,61.680633544921875
2014-10-16,61.56027603149414
2014-10-17,61.98149490356445
2014-10-20,61.530189514160156
2014-10-21,61.92132568359375
2014-10-22,62.854061126708984
2014-10-23,62.82394790649414
2014-10-24,62.5832633972168
2014-10-27,61.92132568359375
2014-10-28,62.82394790649414
2014-10-29,62.282371520996094
2014-10-30,62.87815475463867
2014-10-31,62.739707946777344
2014-11-03,63.30537796020508
2014-11-04,63.479888916015625
2014-11-05,62.884159088134766
2014-11-06,63.18502426147461
2014-11-07,63.1248664855957
2014-11-10,63.18502426147461
2014-11-11,62.89617156982422
2014-11-12,63.1910514831543
2014-11-13,62.5832633972168
2014-11-14,62.7036018371582
2014-11-17,63.49192810058594
2014-11-18,62.077781677246094
2014-11-19,61.98149490356445
2014-11-21,61.98149490356445
2014-11-24,61.686641693115234
2014-11-25,61.97550964355469
2014-11-26,62.5832633972168
2014-11-27,63.69654846191406
2014-11-28,63.70858383178711
2014-12-01,63.18502426147461
2014-12-02,63.786781311035156
2014-12-03,63.666446685791016
2014-12-04,63.786781311035156
2014-12-05,63.070682525634766
2014-12-08,63.666446685791016
2014-12-09,63.06467056274414
2014-12-10,63.36557388305664
2014-12-11,62.5832633972168
2014-12-12,62.5832633972168
2014-12-15,62.282371520996094
2014-12-16,59.69480895996094
2014-12-17,62.51108169555664
2014-12-18,63.33546447753906
2014-12-19,61.680633544921875
2014-12-22,61.98149490356445
2014-12-23,62.282371520996094
2014-12-26,62.282371520996094
2014-12-29,63.18502426147461
2014-12-30,63.479888916015625
2015-01-02,62.5832633972168
2015-01-05,62.27034378051758
2015-01-06,63.18502426147461
2015-01-07,62.342586517333984
2015-01-08,63.18502426147461
2015-01-09,62.432830810546875
2015-01-12,63.17298889160156
2015-01-13,63.48589324951172
2015-01-14,62.61935806274414
2015-01-15,63.48589324951172
2015-01-16,63.92518997192383
2015-01-19,63.06467056274414
2015-01-20,63.90113067626953
2015-01-21,63.92518997192383
2015-01-22,63.070682525634766
2015-01-23,63.92518997192383
2015-01-26,63.87704086303711
2015-01-27,63.907142639160156
2015-01-28,64.08767700195312
2015-01-29,64.08767700195312
2015-01-30,64.50890350341797
2015-02-02,63.48589324951172
2015-02-03,63.786781311035156
2015-02-04,63.48589324951172
2015-02-05,64.23811340332031
2015-02-06,62.282371520996094
2015-02-09,63.786781311035156
2015-02-10,64.3885498046875
2015-02-11,64.3885498046875
2015-02-12,64.86996459960938
2015-02-13,64.99032592773438
2015-02-18,64.99032592773438
2015-02-19,64.93016052246094
2015-02-20,64.99032592773438
2015-02-23,64.99032592773438
2015-02-24,64.99032592773438
2015-02-25,64.99032592773438
2015-02-26,64.99032592773438
2015-02-27,64.86996459960938
2015-03-02,63.60627746582031
2015-03-03,63.78076934814453
2015-03-04,63.18502426147461
2015-03-05,64.62926483154297
2015-03-06,63.48589324951172
2015-03-09,62.974422454833984
2015-03-10,63.48589324951172
2015-03-11,64.3885498046875
2015-03-12,62.89017105102539
2015-03-13,63.3956413269043
2015-03-16,63.786781311035156
2015-03-17,63.18502426147461
2015-03-18,62.974422454833984
2015-03-19,63.786781311035156
2015-03-20,63.18502426147461
2015-03-23,64.20198822021484
2015-03-24,63.786781311035156
2015-03-25,64.02749633789062
2015-03-26,63.31742477416992
2015-03-27,64.20198822021484
2015-03-30,64.68943786621094
2015-03-31,64.3885498046875
2015-04-01,63.48589324951172
2015-04-02,62.89017105102539
2015-04-06,63.786781311035156
2015-04-07,63.786781311035156
2015-04-08,63.786781311035156
2015-04-09,63.48589324951172
2015-04-10,64.0816421508789
2015-04-13,64.68943786621094
2015-04-14,63.907142639160156
2015-04-15,64.68943786621094
2015-04-16,63.94322967529297
2015-04-17,64.68338775634766
2015-04-20,64.93016052246094
2015-04-22,64.68943786621094
2015-04-23,64.99032592773438
2015-04-24,64.27421569824219
2015-04-27,64.23811340332031
2015-04-28,64.42462921142578
2015-04-29,65.20091247558594
2015-04-30,64.99032592773438
2015-05-04,63.907142639160156
2015-05-05,64.6533432006836
