Date,IRFM11.SA
2019-09-24,60.779998779296875
2019-09-25,60.869998931884766
2019-09-26,60.900001525878906
2019-09-27,60.939998626708984
2019-09-30,61.0
2019-10-01,61.0
2019-10-02,60.97999954223633
2019-10-03,61.099998474121094
2019-10-04,61.119998931884766
2019-10-07,61.08000183105469
2019-10-09,61.2599983215332
2019-10-10,61.38999938964844
2019-10-11,61.630001068115234
2019-10-14,61.66999816894531
2019-10-15,61.58000183105469
2019-10-16,61.709999084472656
2019-10-17,61.869998931884766
2019-10-18,61.84000015258789
2019-10-21,61.88999938964844
2019-10-22,61.72999954223633
2019-10-23,61.83000183105469
2019-10-24,61.83000183105469
2019-10-25,61.90999984741211
2019-10-28,61.97999954223633
2019-10-29,61.9900016784668
2019-10-30,62.0
2019-10-31,62.0
2019-11-01,62.02000045776367
2019-11-04,61.970001220703125
2019-11-05,61.86000061035156
2019-11-06,61.869998931884766
2019-11-07,61.689998626708984
2019-11-08,61.70000076293945
2019-11-11,61.810001373291016
2019-11-12,61.70000076293945
2019-11-13,61.61000061035156
2019-11-14,61.709999084472656
2019-11-18,61.56999969482422
2019-11-19,61.619998931884766
2019-11-21,61.5
2019-11-22,61.61000061035156
2019-11-25,61.630001068115234
2019-11-26,61.41999816894531
2019-11-27,61.380001068115234
2019-11-28,61.540000915527344
2019-11-29,61.560001373291016
2019-12-02,61.560001373291016
2019-12-03,61.630001068115234
2019-12-04,61.779998779296875
2019-12-05,61.709999084472656
2019-12-06,61.810001373291016
2019-12-10,61.84000015258789
2019-12-11,61.81999969482422
2019-12-12,61.88999938964844
2019-12-13,61.86000061035156
2019-12-16,61.79999923706055
2019-12-17,61.650001525878906
2019-12-19,61.689998626708984
2019-12-20,61.650001525878906
2019-12-23,61.709999084472656
2019-12-26,61.779998779296875
2019-12-27,61.77000045776367
2019-12-30,61.90999984741211
2020-01-02,61.880001068115234
2020-01-03,61.959999084472656
2020-01-06,61.95000076293945
2020-01-07,61.939998626708984
2020-01-08,62.0099983215332
2020-01-09,62.150001525878906
2020-01-10,62.13999938964844
2020-01-13,62.09000015258789
2020-01-14,62.15999984741211
2020-01-15,62.2400016784668
2020-01-16,62.11000061035156
2020-01-17,62.20000076293945
2020-01-20,62.189998626708984
2020-01-21,62.27000045776367
2020-01-23,62.369998931884766
2020-01-27,62.40999984741211
2020-01-28,62.349998474121094
2020-01-29,62.5099983215332
2020-01-30,62.45000076293945
2020-01-31,62.47999954223633
2020-02-03,62.529998779296875
2020-02-04,62.529998779296875
2020-02-05,62.599998474121094
2020-02-06,62.56999969482422
2020-02-07,62.529998779296875
2020-02-10,62.61000061035156
2020-02-11,62.65999984741211
2020-02-12,62.7599983215332
2020-02-13,62.68000030517578
2020-02-14,62.779998779296875
2020-02-17,62.91999816894531
2020-02-18,62.81999969482422
2020-02-19,62.81999969482422
2020-02-20,62.81999969482422
2020-02-21,62.90999984741211
2020-02-26,62.75
2020-02-28,62.7599983215332
2020-03-02,63.099998474121094
2020-03-03,63.27000045776367
2020-03-04,63.349998474121094
2020-03-06,63.06999969482422
2020-03-10,62.849998474121094
2020-03-11,62.63999938964844
2020-03-12,63.0
2020-03-16,62.5
2020-03-17,62.5
2020-03-18,61.880001068115234
2020-03-20,60.77000045776367
2020-03-23,60.54999923706055
2020-03-24,61.0
2020-03-25,61.400001525878906
2020-03-27,62.369998931884766
2020-03-30,62.630001068115234
2020-03-31,62.68000030517578
2020-04-02,62.56999969482422
2020-04-03,62.38999938964844
2020-04-06,62.65999984741211
2020-04-08,62.709999084472656
2020-04-09,62.959999084472656
2020-04-13,63.119998931884766
2020-04-16,63.56999969482422
2020-04-17,63.540000915527344
2020-04-20,63.9900016784668
2020-04-22,64.04000091552734
2020-04-23,63.70000076293945
2020-04-24,62.099998474121094
2020-04-27,62.369998931884766
2020-04-28,63.220001220703125
2020-04-29,63.279998779296875
2020-05-04,63.2400016784668
2020-05-05,63.470001220703125
2020-05-11,63.72999954223633
2020-05-12,63.34000015258789
2020-05-13,63.400001525878906
2020-05-14,63.25
2020-05-18,63.63999938964844
2020-05-20,63.63999938964844
2020-05-25,64.16999816894531
2020-05-27,64.12999725341797
2020-05-28,64.19999694824219
2020-05-29,64.31999969482422
2020-06-01,64.31999969482422
2020-06-02,64.5199966430664
2020-06-03,64.63999938964844
2020-06-04,64.56999969482422
2020-06-05,64.55000305175781
2020-06-08,64.55000305175781
2020-06-09,64.48999786376953
2020-06-10,64.68000030517578
2020-06-12,64.69000244140625
2020-06-15,64.54000091552734
2020-06-16,64.72000122070312
2020-06-17,64.72000122070312
2020-06-19,64.6500015258789
2020-06-22,64.61000061035156
2020-06-23,63.0
2020-06-24,64.54000091552734
2020-06-25,64.51000213623047
2020-06-26,64.68000030517578
2020-06-29,64.7699966430664
2020-06-30,64.86000061035156
2020-07-01,64.87000274658203
2020-07-02,64.91999816894531
2020-07-03,65.02999877929688
2020-07-06,65.02999877929688
2020-07-07,64.93000030517578
2020-07-08,64.86000061035156
2020-07-09,64.8499984741211
2020-07-10,65.0199966430664
2020-07-13,64.98999786376953
2020-07-14,64.97000122070312
2020-07-15,64.9800033569336
2020-07-16,64.91000366210938
2020-07-17,65.16000366210938
2020-07-20,65.20999908447266
2020-07-21,65.05000305175781
2020-07-22,65.08000183105469
2020-07-23,65.08999633789062
2020-07-24,65.25
2020-07-27,65.37000274658203
2020-07-28,65.23999786376953
2020-07-29,64.80000305175781
2020-07-31,65.58000183105469
2020-08-03,65.5199966430664
2020-08-04,65.54000091552734
2020-08-05,65.4000015258789
