Date,IMAB11.SA
2019-05-20,68.23999786376953
2019-05-21,68.5999984741211
2019-05-22,68.73999786376953
2019-05-23,68.68000030517578
2019-05-24,68.80000305175781
2019-05-27,68.75
2019-05-28,69.25
2019-05-29,69.47000122070312
2019-05-30,69.47000122070312
2019-05-31,69.5
2019-06-03,70.29000091552734
2019-06-04,70.55999755859375
2019-06-05,70.45999908447266
2019-06-06,70.36000061035156
2019-06-07,70.5999984741211
2019-06-10,70.80000305175781
2019-06-11,71.0
2019-06-12,70.8499984741211
2019-06-13,70.5999984741211
2019-06-14,70.9000015258789
2019-06-17,70.62999725341797
2019-06-18,70.94999694824219
2019-06-19,71.19999694824219
2019-06-21,71.75
2019-06-24,72.0
2019-06-25,71.80000305175781
2019-06-26,71.88999938964844
2019-06-27,72.19999694824219
2019-06-28,72.62000274658203
2019-07-01,72.8499984741211
2019-07-02,72.51000213623047
2019-07-03,72.8499984741211
2019-07-04,72.95999908447266
2019-07-05,72.62000274658203
2019-07-08,73.08000183105469
2019-07-10,73.30000305175781
2019-07-11,72.97000122070312
2019-07-12,73.04000091552734
2019-07-15,73.0
2019-07-16,73.20999908447266
2019-07-17,73.30999755859375
2019-07-18,73.36000061035156
2019-07-19,73.36000061035156
2019-07-22,73.38999938964844
2019-07-23,73.44000244140625
2019-07-24,73.3499984741211
2019-07-25,73.54000091552734
2019-07-26,73.5
2019-07-29,73.58000183105469
2019-07-30,73.6500015258789
2019-07-31,73.61000061035156
2019-08-01,73.66999816894531
2019-08-02,73.5999984741211
2019-08-05,73.30999755859375
2019-08-06,73.62000274658203
2019-08-07,73.61000061035156
2019-08-08,74.2300033569336
2019-08-09,74.25
2019-08-12,74.0999984741211
2019-08-13,74.0999984741211
2019-08-14,73.94999694824219
2019-08-15,73.86000061035156
2019-08-16,74.0
2019-08-19,74.0
2019-08-20,73.80000305175781
2019-08-21,74.0
2019-08-22,74.16999816894531
2019-08-23,73.9000015258789
2019-08-26,73.79000091552734
2019-08-27,73.04000091552734
2019-08-28,73.22000122070312
2019-08-29,72.6500015258789
2019-08-30,73.12000274658203
2019-09-02,72.9000015258789
2019-09-03,73.30000305175781
2019-09-04,73.55999755859375
2019-09-05,73.18000030517578
2019-09-06,73.61000061035156
2019-09-09,73.52999877929688
2019-09-10,73.38999938964844
2019-09-11,73.25
2019-09-12,73.80999755859375
2019-09-13,73.68000030517578
2019-09-16,73.75
2019-09-17,74.05000305175781
2019-09-18,74.12000274658203
2019-09-19,74.52999877929688
2019-09-20,74.62999725341797
2019-09-23,74.75
2019-09-24,74.73999786376953
2019-09-25,75.02999877929688
2019-09-26,75.31999969482422
2019-09-27,75.3499984741211
2019-09-30,74.87000274658203
2019-10-01,74.80000305175781
2019-10-02,75.18000030517578
2019-10-03,75.33000183105469
2019-10-04,75.5999984741211
2019-10-07,75.22000122070312
2019-10-08,74.79000091552734
2019-10-09,75.01000213623047
2019-10-10,75.45999908447266
2019-10-11,76.19999694824219
2019-10-14,75.9000015258789
2019-10-15,76.2300033569336
2019-10-16,76.29000091552734
2019-10-17,76.62000274658203
2019-10-18,76.2699966430664
2019-10-21,76.37000274658203
2019-10-22,76.61000061035156
2019-10-23,76.76000213623047
2019-10-24,76.9000015258789
2019-10-25,77.04000091552734
2019-10-28,77.26000213623047
2019-10-29,77.01000213623047
2019-10-30,77.4000015258789
2019-10-31,77.55000305175781
2019-11-01,77.83999633789062
2019-11-04,77.52999877929688
2019-11-05,77.5
2019-11-06,77.5
2019-11-07,77.38999938964844
2019-11-08,77.01000213623047
2019-11-11,76.88999938964844
2019-11-12,76.8499984741211
2019-11-13,76.55000305175781
2019-11-14,76.55000305175781
2019-11-18,76.30000305175781
2019-11-19,76.02999877929688
2019-11-21,76.25
2019-11-22,76.19000244140625
2019-11-25,75.81999969482422
2019-11-26,75.91999816894531
2019-11-27,75.5999984741211
2019-11-28,75.45999908447266
2019-11-29,75.87000274658203
2019-12-02,75.29000091552734
2019-12-03,75.3499984741211
2019-12-04,75.58999633789062
2019-12-05,75.83999633789062
2019-12-06,75.83000183105469
2019-12-09,76.13999938964844
2019-12-10,76.2699966430664
2019-12-11,76.97000122070312
2019-12-12,76.87000274658203
2019-12-13,76.91000366210938
2019-12-16,77.08000183105469
2019-12-17,76.70999908447266
2019-12-18,76.31999969482422
2019-12-19,75.44000244140625
2019-12-20,75.51000213623047
2019-12-23,76.01000213623047
2019-12-26,76.0
2019-12-27,76.44000244140625
2019-12-30,76.25
2020-01-02,76.76000213623047
2020-01-03,76.69999694824219
2020-01-06,76.58999633789062
2020-01-07,76.30000305175781
2020-01-08,76.8499984741211
2020-01-09,76.8499984741211
2020-01-10,76.93000030517578
2020-01-13,76.87999725341797
2020-01-14,76.6500015258789
2020-01-15,76.93000030517578
2020-01-16,76.5199966430664
2020-01-17,76.7300033569336
2020-01-20,76.63999938964844
2020-01-21,76.70999908447266
2020-01-22,76.94999694824219
2020-01-23,77.08000183105469
2020-01-24,76.9000015258789
2020-01-27,77.0
2020-01-28,76.9000015258789
2020-01-29,77.26000213623047
2020-01-30,77.30000305175781
2020-01-31,76.9800033569336
2020-02-03,77.0
2020-02-04,77.1500015258789
2020-02-05,77.4000015258789
2020-02-06,77.19000244140625
2020-02-07,77.11000061035156
2020-02-10,77.48999786376953
2020-02-11,77.69000244140625
2020-02-12,77.97000122070312
2020-02-13,77.55000305175781
2020-02-14,78.0
2020-02-17,78.0
2020-02-18,78.16999816894531
2020-02-19,77.94999694824219
2020-02-20,77.83000183105469
2020-02-21,78.0
