Date,CPTS11.SA
2015-09-02,0.0007135139894671738
2015-09-03,0.0007198033854365349
2015-09-11,0.0007128149154596031
2015-09-14,0.0007157499203458428
2015-09-15,0.0007159595261327922
2015-09-16,0.0007166584255173802
2015-09-17,0.0007163091795518994
2015-09-21,0.0007176368962973356
2015-09-22,0.0007179161766543984
2015-09-29,0.0007198033854365349
2015-10-05,0.0007330112857744098
2015-10-07,0.0006988379172980785
2015-10-09,0.000715540605597198
2015-10-15,0.0007144218543544412
2015-10-16,0.0007144218543544412
2015-10-20,0.0007144218543544412
2015-10-21,0.0007144218543544412
2015-10-23,0.0007144218543544412
2015-10-27,0.0007144218543544412
2015-10-30,0.0007144218543544412
2015-11-03,0.0008084062719717622
2015-11-04,0.0008060308173298836
2015-11-05,0.0008060308173298836
2015-11-06,0.0008052393677644432
2015-11-09,0.0008052393677644432
2015-11-11,0.0008052393677644432
2015-11-12,0.0007917790790088475
2015-11-16,0.0008052393677644432
2015-11-17,0.0008052393677644432
2015-11-18,0.0008052393677644432
2015-11-19,0.0008052393677644432
2015-11-23,0.0008052393677644432
2015-11-24,0.0008052393677644432
2015-11-26,0.0008060308173298836
2015-11-30,0.0008179075666703284
2015-12-01,0.0009119713213294744
2015-12-02,0.0009119713213294744
2015-12-04,0.0009119713213294744
2015-12-07,0.0009155552834272385
2015-12-10,0.0009168987162411213
2015-12-14,0.0009177945321425796
2015-12-15,0.000897727906703949
2015-12-16,0.0009039096185006201
2015-12-17,0.0008510543266311288
2015-12-18,0.0009024758473969996
2015-12-28,0.0009048049105331302
2015-12-29,0.0009048049105331302
2015-12-30,0.0009092839318327606
2016-01-05,0.0009654671302996576
2016-01-11,0.001025104196742177
2016-01-15,0.001025104196742177
2016-01-18,0.001025104196742177
2016-01-19,0.001025104196742177
2016-01-21,0.001025104196742177
2016-01-22,0.0009753216290846467
2016-01-26,0.001015960006043315
2016-01-27,0.0010250023333355784
2016-01-29,0.001025104196742177
2016-02-01,0.0012544532073661685
2016-02-03,0.0012544532073661685
2016-02-04,0.0012544532073661685
2016-02-05,0.0012544532073661685
2016-02-10,0.0012544532073661685
2016-02-11,0.0012538200244307518
2016-02-12,0.0012531861430034041
2016-02-15,0.0012531861430034041
2016-02-16,0.0012531861430034041
2016-02-17,0.0012531861430034041
2016-02-19,0.0012671243166550994
2016-02-22,0.0012531861430034041
2016-02-24,0.0012671243166550994
2016-02-26,0.0012544532073661685
2016-02-29,0.0012671243166550994
2016-03-02,0.0014564648736268282
2016-03-03,0.0014528242172673345
2016-03-04,0.0014528242172673345
2016-03-07,0.0014528242172673345
2016-03-08,0.0014528242172673345
2016-03-09,0.0014526779996231198
2016-03-10,0.0014448134461417794
2016-03-14,0.001441899803467095
2016-03-15,0.00144044344779104
2016-03-16,0.0014448134461417794
2016-03-17,0.0014448134461417794
2016-03-18,0.0014855939662083983
2016-03-21,0.0014710294781252742
2016-03-22,0.0014710294781252742
2016-03-23,0.0014535521622747183
2016-03-24,0.0014535521622747183
2016-03-28,0.0014854486798867583
2016-03-29,0.0014855939662083983
2016-03-30,0.0014855939662083983
2016-03-31,0.0014855939662083983
2016-04-04,0.0016341531882062554
2016-04-05,0.0016259001567959785
2016-04-06,0.0016176472418010235
2016-04-07,0.001650660065934062
2016-04-08,0.0016754195094108582
2016-04-11,0.0016754195094108582
2016-04-12,0.0016499998746439815
2016-04-13,0.0016341531882062554
2016-04-14,0.0016504947561770678
2016-04-15,0.0016671669436618686
2016-04-18,0.0016176472418010235
2016-04-20,0.001683673239313066
2016-04-22,0.001650660065934062
2016-04-25,0.0016820227028802037
2016-04-26,0.0016820227028802037
2016-04-27,0.0016358043067157269
2016-04-28,0.0016589135630056262
2016-04-29,0.0016754195094108582
2016-05-02,0.001921526505611837
2016-05-03,0.0019158474169671535
2016-05-04,0.0019158474169671535
2016-05-05,0.0018931298982352018
2016-05-09,0.0018931298982352018
2016-05-10,0.0018931298982352018
2016-05-11,0.0019120617071166635
2016-05-12,0.0018969159573316574
2016-05-13,0.0018931298982352018
2016-05-16,0.0018931298982352018
2016-05-17,0.0019158474169671535
2016-05-18,0.001855457085184753
2016-05-19,0.001883663353510201
2016-05-20,0.0019120617071166635
2016-05-23,0.0018931298982352018
2016-05-24,0.0018931298982352018
2016-05-25,0.0018762827385216951
2016-05-27,0.0018931298982352018
2016-05-30,0.0018931298982352018
2016-05-31,0.0018931298982352018
2016-06-01,0.002179521368816495
2016-06-02,0.002210118342190981
2016-06-03,0.0022013147827237844
2016-06-06,0.0022013147827237844
2016-06-07,0.0022013147827237844
2016-06-08,0.0022013147827237844
2016-06-09,0.0021969107910990715
2016-06-10,0.0022008740343153477
2016-06-13,0.0022123202215880156
2016-06-14,0.0022079176269471645
2016-06-15,0.00220153434202075
2016-06-16,0.0022123202215880156
2016-06-17,0.0022453402634710073
2016-06-21,0.0022891464177519083
2016-06-22,0.002278360538184643
2016-06-23,0.002289366675540805
2016-06-24,0.0023113791830837727
2016-06-27,0.0022365343756973743
2016-06-28,0.0022563464008271694
2016-06-29,0.002278360538184643
2016-06-30,0.0022563464008271694
2016-07-01,0.0025462680496275425
2016-07-04,0.002571479184553027
2016-07-05,0.002571479184553027
2016-07-06,0.002536436077207327
2016-07-07,0.002521058777347207
2016-07-08,0.0025462680496275425
2016-07-11,0.002594421152025461
2016-07-12,0.002521058777347207
2016-07-13,0.0025117299519479275
2016-07-14,0.0025588744319975376
2016-07-15,0.0025462680496275425
2016-07-18,0.0025586215779185295
2016-07-19,0.0025213107001036406
