Date,AYD.F
2020-07-24,89.50835262040711
2020-07-27,91.55891763304135
2020-07-28,92.6921227873536
2020-07-29,91.6112995254516
2020-07-30,93.27275763677973
2020-07-31,92.47845690349959
2020-08-03,94.16140658673476
2020-08-04,99.91654822230521
2020-08-05,98.56818842984012
2020-08-06,98.09203843728255
2020-08-07,97.7104954295196
2020-08-10,100.97590062876134
2020-08-11,102.12586701558303
2020-08-12,99.35874855518341
2020-08-13,101.3618998238526
2020-08-14,100.67444025112536
2020-08-17,103.56392375314317
2020-08-18,104.8871727156984
2020-08-19,104.841282734169
2020-08-20,104.45864184318543
2020-08-21,105.08125824869921
2020-08-24,105.60887427790067
2020-08-25,105.42875089625932
2020-08-26,103.8761919333001
2020-08-27,105.76827032129677
2020-08-28,104.75519344940948
2020-08-31,101.30011871555325
2020-09-01,101.29546905716325
2020-09-02,99.70994925498964
2020-09-03,98.14848105957026
2020-09-04,97.52924297257233
2020-09-07,97.19894647598267
2020-09-08,98.91748261653903
2020-09-09,98.12136626686106
2020-09-10,99.34544872760398
2020-09-11,99.61301060313417
2020-09-14,103.30195968669886
2020-09-15,104.49832143790445
2020-09-16,106.66289539376066
2020-09-17,104.18299892878713
2020-09-18,104.49051337507626
2020-09-21,108.02638095008842
2020-09-22,106.44954824070737
2020-09-23,112.05774664878845
2020-09-24,113.52788001190947
2020-09-25,112.45324969291687
2020-09-28,110.05813345324714
2020-09-29,110.35360172882065
2020-09-30,110.24813113696291
2020-10-01,111.75630378723145
2020-10-02,112.74898959136954
2020-10-05,112.98322144139092
2020-10-06,112.18998021556854
2020-10-07,111.42785448083487
2020-10-08,110.87831108100909
2020-10-09,109.95447117546064
2020-10-12,108.52582541950233
2020-10-13,108.40298482143407
2020-10-14,107.71986639263923
2020-10-15,108.04013965487684
2020-10-16,106.89773691908249
2020-10-19,108.8203435738069
2020-10-20,108.42673877083598
2020-10-21,110.54170013494877
2020-10-22,110.02463733612058
2020-10-23,108.82897563002007
2020-10-26,110.3078109643784
2020-10-27,108.8681165167618
2020-10-28,108.96920274056993
2020-10-29,102.96532259881587
2020-10-30,105.34440681523893
2020-11-02,105.36978886090856
2020-11-03,108.23382334220878
2020-11-04,108.93582363746646
2020-11-05,109.33389442758198
2020-11-06,108.03578104650114
2020-11-09,101.48040958288584
2020-11-10,99.5376506530265
2020-11-11,100.40307061288831
2020-11-12,99.01164220691682
2020-11-13,100.83160479525759
2020-11-16,100.7837987749099
2020-11-17,100.64835416226195
2020-11-18,99.80701767290111
2020-11-19,100.4854735063782
2020-11-20,98.92281688879393
2020-11-23,99.19189386836251
2020-11-24,101.76464423004154
2020-11-25,102.22720336914062
2020-11-26,101.70323002526857
2020-11-27,101.89090049572769
2020-11-30,103.89164554925537
2020-12-01,103.56033802038564
2020-12-02,103.51087938796991
2020-12-03,104.86220095329281
2020-12-04,103.94812953364544
2020-12-07,103.9350993370972
2020-12-08,101.48905183510578
2020-12-09,102.62231713264464
2020-12-10,102.60697707665258
2020-12-11,102.82745504693594
2020-12-14,102.90502936885059
2020-12-15,105.03350020790094
2020-12-16,104.69068343554682
2020-12-17,105.34219932556152
2020-12-18,105.13334210305766
2020-12-21,106.00677940332025
2020-12-22,103.36094784736633
2020-12-23,107.32900783280184
2020-12-28,104.69054962335213
2020-12-29,105.86016280731201
2020-12-30,105.91132092674252
2021-01-04,106.30737033451078
2021-01-05,108.71206762002566
2021-01-06,106.81232543790429
2021-01-07,108.38993016345194
2021-01-08,112.52620120104984
2021-01-11,111.09441402095035
2021-01-12,111.0004451472778
2021-01-13,108.8427973352509
2021-01-14,106.16086298745722
2021-01-15,105.40205602569586
2021-01-18,103.55070376396179
2021-01-19,104.96977409498595
2021-01-20,107.10516845744314
2021-01-21,105.71550107002258
2021-01-22,109.31255568946835
2021-01-25,112.48585080323028
2021-01-26,111.992045175125
2021-01-27,110.92529091769393
2021-01-28,111.0608567366944
2021-01-29,109.38570169048309
2021-02-01,110.12745287042253
2021-02-02,111.64267415020731
2021-02-03,109.80469608306885
2021-02-04,116.71635987123864
2021-02-05,117.19314216242219
2021-02-08,117.52279060231012
2021-02-09,117.7522120349731
2021-02-10,115.15514496255491
2021-02-11,114.15775299072266
2021-02-12,113.71788459521485
2021-02-15,116.69252833612063
2021-02-16,116.80196552848065
2021-02-17,118.52200773028565
2021-02-18,119.17691778190601
2021-02-19,117.80681946084587
2021-02-22,115.12730834669492
2021-02-23,120.42370945777111
2021-02-24,118.68146882650763
2021-02-25,118.23468038899227
2021-02-26,120.87234462084962
2021-03-01,116.49412238909918
2021-03-02,118.61275447686785
2021-03-03,122.45174008175672
2021-03-04,119.92364281392656
2021-03-05,118.10934023133086
2021-03-08,117.67650388555921
2021-03-09,121.50587560583517
2021-03-10,123.2322174891815
2021-03-11,121.42934649404924
2021-03-12,117.88673935300449
2021-03-15,118.06561917655927
2021-03-16,121.15416577095039
2021-03-17,123.4992434382475
2021-03-18,120.49973941780081
2021-03-19,116.16216782359334
2021-03-22,112.0633778907013
2021-03-23,116.36191916654207
2021-03-24,114.59058222940075
2021-03-25,117.22001401708985
2021-03-26,117.6837632360839
2021-03-29,100.85184429812625
2021-03-30,99.01819758635338
2021-03-31,101.58627226489261
2021-04-01,100.09238035546878
2021-04-06,101.18359373126988
2021-04-07,104.60489226818845
2021-04-08,100.57657019069667
2021-04-09,98.14324085832595
2021-04-12,99.60701995675663
2021-04-13,103.21516424258425
2021-04-14,103.02354323716739
2021-04-15,101.5785026550293
2021-04-16,101.31648441554263
2021-04-19,103.0629571180725
