Date,SI=F
2003-12-01,397.4781108539845
2003-12-02,405.61123841458243
2003-12-03,403.5448145519961
2003-12-04,408.99401513579915
2003-12-05,405.49597290170027
2003-12-08,413.9035174911568
2003-12-09,417.00594060282305
2003-12-10,419.52576825612465
2003-12-11,414.5535422391037
2003-12-12,417.1797759569757
2003-12-15,409.39111833448845
2003-12-16,418.26885971462644
2003-12-17,419.5033233584818
2003-12-18,422.1278523264349
2003-12-19,417.69875612929894
2003-12-22,414.4731273556337
2003-12-23,409.55628804961924
2003-12-24,412.76989986824776
2003-12-29,395.8818805644431
2003-12-30,423.75020114344375
2003-12-31,421.6254487947446
2004-01-05,412.9563555055571
2004-01-06,426.13462767709177
2004-01-07,417.0598820155509
2004-01-08,415.39345120214733
2004-01-09,415.9639413849189
2004-01-12,400.21154487778455
2004-01-13,407.773651424666
2004-01-14,404.98067498583754
2004-01-15,388.52653664217235
2004-01-16,403.7919601585773
2004-01-20,409.6594329406951
2004-01-21,405.0410826975535
2004-01-22,405.64292055104136
2004-01-23,413.417507116264
2004-01-26,412.6114466691892
2004-01-27,443.1573116342427
2004-01-28,464.7078639217867
2004-01-29,458.85939231853325
2004-01-30,461.5914803974078
2004-02-02,451.87365804720724
2004-02-03,442.5602246833509
2004-02-04,445.5157130060665
2004-02-05,451.0471416935268
2004-02-06,463.73465741208554
2004-02-09,469.6589823756856
2004-02-10,462.9158565245904
2004-02-11,466.82834142566134
2004-02-12,464.7885301807503
2004-02-13,467.89279810479917
2004-02-17,489.9903140534403
2004-02-18,500.345105916488
2004-02-19,508.80735630900074
2004-02-20,499.25049417023064
2004-02-23,495.96291667866114
2004-02-24,506.054960763984
2004-02-25,487.3539163764091
2004-02-26,494.383066282194
2004-02-27,476.8699774748153
2004-03-01,485.29022585375805
2004-03-02,468.07339491456077
2004-03-03,468.4253043800643
2004-03-04,470.18762827130445
2004-03-05,471.0015548199251
2004-03-08,475.1430586702943
2004-03-09,492.3154051206598
2004-03-10,507.19127208639287
2004-03-11,512.8201798287294
2004-03-12,498.0162813142358
2004-03-15,506.23933936180373
2004-03-16,503.9688296312258
2004-03-17,519.7448569517319
